         690 function calls (676 primitive calls) in 0.008 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.003    0.001 /usr/lib/python3.10/multiprocessing/popen_fork.py:15(__init__)
        4    0.000    0.000    0.003    0.001 /usr/lib/python3.10/multiprocessing/popen_fork.py:62(_launch)
        4    0.002    0.000    0.002    0.000 {built-in method posix.fork}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:80(__init__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/util.py:186(__init__)
       16    0.000    0.000    0.000    0.000 {built-in method posix.close}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/util.py:433(_flush_std_streams)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:61(_cleanup)
        8    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/util.py:205(__call__)
        8    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       20    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/util.py:461(close_fds)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_weakrefset.py:86(add)
        4    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
        4    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_weakrefset.py:39(_remove)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:94(<genexpr>)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:189(name)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:99(_check_closed)
        8    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        8    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        4    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/context.py:237(get_context)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 {built-in method posix.waitstatus_to_exitcode}
        4    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/util.py:44(sub_debug)



--------------------------------------------------------------------------------
         221 function calls in 0.043 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.043    0.043 /home/seia/Documents/C8C286_parallel/sol-acts/act12/analisis-de-rendimiento/pej11t4-opt_mult.py:14(parallel_matrix_multiply)
       10    0.000    0.000    0.039    0.004 /usr/lib/python3.10/multiprocessing/popen_fork.py:24(poll)
        4    0.000    0.000    0.039    0.010 /usr/lib/python3.10/multiprocessing/process.py:142(join)
        4    0.000    0.000    0.039    0.010 /usr/lib/python3.10/multiprocessing/popen_fork.py:36(wait)
       10    0.039    0.004    0.039    0.004 {built-in method posix.waitpid}
        4    0.000    0.000    0.003    0.001 /usr/lib/python3.10/multiprocessing/process.py:110(start)
        4    0.000    0.000    0.003    0.001 /usr/lib/python3.10/multiprocessing/context.py:222(_Popen)
        4    0.000    0.000    0.003    0.001 /usr/lib/python3.10/multiprocessing/context.py:278(_Popen)
        4    0.000    0.000    0.003    0.001 /usr/lib/python3.10/multiprocessing/popen_fork.py:15(__init__)
        4    0.000    0.000    0.003    0.001 /usr/lib/python3.10/multiprocessing/popen_fork.py:62(_launch)
        4    0.002    0.001    0.002    0.001 {built-in method posix.fork}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:80(__init__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/util.py:186(__init__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:61(_cleanup)
