         883 function calls in 1.079 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:189(name)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1028(_stop)
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/util.py:48(debug)
        4    0.000    0.000    0.000    0.000 {built-in method posix.kill}
        3    0.000    0.000    0.000    0.000 {built-in method posix.write}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/connection.py:117(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1198(daemon)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:276(_acquire_restore)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:273(_release_save)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/weakref.py:353(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/pool.py:734(__enter__)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:94(<genexpr>)
        4    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:193(name)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1183(daemon)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/synchronize.py:94(__enter__)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:99(_check_closed)
        3    0.000    0.000    0.000    0.000 {method 'dump' of '_pickle.Pickler' objects}
       22    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       48    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
       48    0.000    0.000    0.000    0.000 {built-in method math.floor}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/synchronize.py:90(_make_methods)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/synchronize.py:97(__exit__)
       14    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:553(is_set)
        3    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        6    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x55ab1e30c9a0}
        9    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        4    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:205(daemon)
        3    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/context.py:187(get_context)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/pool.py:157(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/pool.py:756(ready)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        7    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/context.py:197(get_start_method)
        1    0.000    0.000    0.000    0.000 {method 'put' of '_queue.SimpleQueue' objects}
        3    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
        4    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/connection.py:134(_check_closed)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/util.py:44(sub_debug)
        3    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/pool.py:266(__del__)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:234(ident)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:37(current_process)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/pool.py:351(_check_running)
        4    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        4    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/context.py:237(get_context)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/connection.py:142(_check_writable)
        4    0.000    0.000    0.000    0.000 {built-in method posix.waitstatus_to_exitcode}
        3    0.000    0.000    0.000    0.000 {method '__enter__' of '_multiprocessing.SemLock' objects}
        4    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        3    0.000    0.000    0.000    0.000 {method '__exit__' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 {method 'locked' of '_thread.lock' objects}



--------------------------------------------------------------------------------
         883 function calls in 1.058 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.058    1.058 /home/seia/Documents/C8C286_parallel/sol-acts/act12/analisis-de-rendimiento/pej11t2-prof-mult.py:13(parallel_multiply_matrices)
        4    0.000    0.000    1.044    0.261 /usr/lib/python3.10/threading.py:589(wait)
        4    0.000    0.000    1.044    0.261 /usr/lib/python3.10/threading.py:288(wait)
       19    1.044    0.055    1.044    0.055 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    1.044    1.044 /usr/lib/python3.10/multiprocessing/pool.py:369(starmap)
        1    0.000    0.000    1.044    1.044 /usr/lib/python3.10/multiprocessing/pool.py:767(get)
        1    0.000    0.000    1.044    1.044 /usr/lib/python3.10/multiprocessing/pool.py:764(wait)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.10/multiprocessing/context.py:115(Pool)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.10/multiprocessing/pool.py:183(__init__)
        1    0.005    0.005    0.005    0.005 {built-in method numpy.array}
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.10/multiprocessing/pool.py:305(_repopulate_pool)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.10/multiprocessing/pool.py:314(_repopulate_pool_static)
        5    0.000    0.000    0.004    0.001 /usr/lib/python3.10/multiprocessing/util.py:205(__call__)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.10/multiprocessing/pool.py:738(__exit__)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.10/multiprocessing/pool.py:654(terminate)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.10/multiprocessing/pool.py:680(_terminate_pool)
